geoName,Trump,Clinton,CNN,WikiLeaks,Make America Great Again,Benghazi,Fox News,Facebook,Instagram,Twitter,fake news,black lives matter,antifa,healthcare,immigration,racism,Dow Jones,Russia,Venezuela,Crimea,China,North Korea,ebola,NASDAQ
Buffalo NY,1,1,2,1,0,7,1,2,3,1,0,5,0,2,2,4,2,4,0,0,1,0,0,0
Elmira NY,10,10,17,0,0,0,11,19,8,9,0,0,0,14,0,0,25,18,0,0,11,0,100,0
Erie PA,85,86,88,58,0,82,81,98,87,93,100,100,0,56,63,100,67,100,100,0,83,100,51,50
Harrisburg-Lancaster-Lebanon-York PA,94,87,100,97,33,100,100,84,100,80,13,87,87,84,100,90,72,90,85,100,100,60,60,57
Johnstown-Altoona PA,100,100,85,82,100,100,77,84,87,95,25,81,0,100,72,61,100,89,60,64,90,67,41,99
Philadelphia PA,68,62,69,58,37,52,39,45,98,68,15,57,26,71,64,62,37,54,71,28,78,38,41,61
Pittsburgh PA,96,93,97,100,58,85,78,75,99,100,15,88,100,87,64,74,75,93,65,44,94,56,50,84
Wilkes Barre-Scranton PA,97,99,91,95,83,84,86,100,97,91,29,68,0,78,89,45,59,84,95,75,90,48,38,100
Youngstown OH,14,13,7,16,40,22,12,16,6,12,0,19,0,15,10,13,8,12,33,0,7,8,34,0
