,House,President,State,Class
0,-0.1198280094884332,-0.13830604069163432,AL,T
1,0.9327828373948812,0.021448190048601212,AL,T
2,-0.05907340372867864,0.2285520348650225,AL,T
3,-0.6859135438263018,,AL,P
4,-2.897451560193838,-0.15096446877258507,AK,T
5,0.8459486587850538,-0.22560971917806683,AK,T
6,-1.0158662978011608,0.06025820497326806,AK,T
7,-0.10244512519789062,,AK,P
8,-0.2147873789391519,-0.047036624263353755,AZ,T
9,0.03550133108622089,0.01444292602251318,AZ,T
10,0.14887405531404152,-0.12476057919623806,AZ,T
11,-0.4477972203918865,,AZ,P
12,-0.05248079511085646,0.29172499149769693,AR,T
13,0.6981748051605431,0.13153665263036096,AR,T
14,0.6309665525713632,0.15763933120411222,AR,T
15,-0.22275994362730844,,AR,P
16,-0.16236068982176,-0.2111250112298083,CA,T
17,0.11266589720368991,0.01052692310255987,CA,T
18,-0.0894585814831571,-0.10400510617508196,CA,T
19,-0.22935900918086594,,CA,P
20,-0.25899557623212643,-0.2661916848529077,CO,T
21,0.35484758777303116,0.06264765672580264,CO,T
22,-0.03568754553540954,0.0023266045664163126,CO,T
23,-0.2642369788168222,,CO,P
24,-0.2680867378869147,-0.17830435679280754,CT,T
25,0.07394846628541119,0.07064029045550757,CT,T
26,-0.03462921969645383,0.04856632071612532,CT,T
27,-0.05288844305578244,,CT,P
28,-1.2230726952166233,-0.26117673794735186,DE,T
29,-0.7520539105896699,0.08570049925557488,DE,T
30,-0.10246243574878433,0.10358629717692758,DE,T
31,-0.06887225268844976,,DE,P
32,-0.041806438028908044,-0.16153176095320354,FL,T
33,0.25666880399053427,0.037683581462665816,FL,T
34,-0.34741527495741176,0.04259861196124315,FL,T
35,-0.16221993969342385,,FL,P
36,-0.1356436450218581,-0.2902378395773044,GA,T
37,0.40418886201280957,0.060899685174180096,GA,T
38,-0.2144483939220232,-0.05943539043354029,GA,T
39,-0.3154432013373054,,GA,P
40,0.035194512533645694,-0.46810424428143926,HI,T
41,0.03283649636644137,0.02464452363093189,HI,T
42,-0.060145931018759646,0.08814483674842599,HI,T
43,-0.2067525585680205,,HI,P
44,-0.45833102818636506,-0.5552432587950842,ID,T
45,0.3489417883514063,0.27358598269988854,ID,T
46,-0.029331294049080636,0.1775011063215195,ID,T
47,0.056783261501407,,ID,P
48,-0.22591815907364188,-0.21728565340346684,IL,T
49,0.19050863163447962,0.11311419658194322,IL,T
50,0.02793881529507225,-0.01280000573154716,IL,T
51,-0.3084002735166489,,IL,P
52,-0.2886791780344462,-0.547412911492871,IN,T
53,0.40779069858507433,0.25282396263538454,IN,T
54,0.13938247243644009,0.2751918894427774,IN,T
55,-0.32306537180503203,,IN,P
56,-0.14493267464050752,-0.19036378524062836,IA,T
57,0.1851933249706006,0.0650459467072999,IA,T
58,-0.07471566643979566,0.3371241962440583,IA,T
59,-0.24896575410776345,,IA,P
60,-0.8183623056568896,-0.33385593951516945,KS,T
61,0.6765683037720958,0.2124014794423743,KS,T
62,-0.18474327063284468,-0.00012275801711658652,KS,T
63,-0.5230288172858857,,KS,P
64,-0.960523565976648,-0.10621714145813832,KY,T
65,0.6509484159741827,0.2060322524873066,KY,T
66,0.07819101616928847,0.3126660921465818,KY,T
67,-0.22001444971943607,,KY,P
68,0.10354271031008477,0.12290901946343635,LA,T
69,0.2957544044021414,-0.04247174534070686,LA,T
70,0.36879047708974344,0.08672019605947323,LA,T
71,-1.0281747153588572,,LA,P
72,-0.24555002578026758,-0.13224496048139367,ME,T
73,0.31973324312322776,0.028485315482019602,ME,T
74,-0.037779663777663175,0.20979296075329146,ME,T
75,-0.020109550021756628,,ME,P
76,-0.3352358437082718,-0.178790363262038,MD,T
77,0.1132990525882675,-0.009828207001136624,MD,T
78,0.10934972605394488,-0.017005205203448504,MD,T
79,-0.22582057503111352,,MD,P
80,-0.06839082532420838,-0.011455328681169497,MA,T
81,0.48349972710464173,0.036146353933980024,MA,T
82,-0.3959810776674727,-0.07173817125012938,MA,T
83,0.047045467279849124,,MA,P
84,-0.13335682787518088,-0.22009891023050832,MI,T
85,0.336490853114063,0.11162916201915796,MI,T
86,-0.21565875549449032,0.1799180307865056,MI,T
87,-0.11341875948134328,,MI,P
88,-8.147025845406954,-0.12132916331825605,MN,T
89,-0.3025371424103407,0.043238935963219816,MN,T
90,1.6487901407828862,0.11340696773533099,MN,T
91,-2.2923194536450064,,MN,P
92,0.1106478360238583,-0.1630649438242484,MS,T
93,0.03889557384973452,-0.04383511836016396,MS,T
94,0.2232551415175461,0.1818403458087361,MS,T
95,-0.24954422579308688,,MS,P
96,-0.13148291412004176,-0.15338158606447427,MO,T
97,0.5006449329919085,0.2086388573116329,MO,T
98,0.07399259339705222,0.2773655858352946,MO,T
99,-0.3374091431362909,,MO,P
100,-0.47342027960980837,-0.4837541179404865,MT,T
101,0.2803470260444627,0.2795379081813809,MT,T
102,-0.41395210139844374,0.24389866727584097,MT,T
103,-0.2709060693241958,,MT,P
104,-6.982920343413525,-0.6573535298849025,NE,T
105,1.1090134204624384,0.21364236563993266,NE,T
106,-0.5450150507366192,0.17067137103621732,NE,T
